antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'42907'}),"frozenset({'49032', '42908', '32907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49032', '49006', '32907'})",frozenset({'42907'}),0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49032', '49006', '42907'})",frozenset({'32907'}),0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49032', '32907', '42907'})",frozenset({'49006'}),0.16670898288732036,0.999932294046954,0.16670898288732036,1.0,1.0000677105374525,1.1287190567699223e-05,inf,8.125126955106491e-05
"frozenset({'49006', '32907', '42907'})",frozenset({'49032'}),0.16670898288732036,1.0,0.16670898288732036,1.0,1.0,0.0,inf,0.0
"frozenset({'49032', '49006'})","frozenset({'32907', '42907'})",0.999932294046954,0.16670898288732036,0.16670898288732036,0.1667202708421498,1.0000677105374522,1.1287190567699223e-05,1.0000135464171687,0.999999999999327
"frozenset({'49032', '32907'})","frozenset({'49006', '42907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49032', '42907'})","frozenset({'49006', '32907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49006', '32907'})","frozenset({'49032', '42907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49006', '42907'})","frozenset({'49032', '32907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'32907', '42907'})","frozenset({'49032', '49006'})",0.16670898288732036,0.999932294046954,0.16670898288732036,1.0,1.0000677105374525,1.1287190567699223e-05,inf,8.125126955106491e-05
frozenset({'49032'}),"frozenset({'49006', '32907', '42907'})",1.0,0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,0.0,1.0,0.0
frozenset({'49006'}),"frozenset({'49032', '32907', '42907'})",0.999932294046954,0.16670898288732036,0.16670898288732036,0.1667202708421498,1.0000677105374522,1.1287190567699223e-05,1.0000135464171687,0.999999999999327
frozenset({'32907'}),"frozenset({'49032', '49006', '42907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
frozenset({'42907'}),"frozenset({'49032', '49006', '32907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49006', '42908', '32907'})",frozenset({'49032'}),0.16670898288732036,1.0,0.16670898288732036,1.0,1.0,0.0,inf,0.0
"frozenset({'49006', '42908', '49032'})",frozenset({'32907'}),0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49006', '32907', '49032'})",frozenset({'42908'}),0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49032', '42908', '32907'})",frozenset({'49006'}),0.16670898288732036,0.999932294046954,0.16670898288732036,1.0,1.0000677105374525,1.1287190567699223e-05,inf,8.125126955106491e-05
"frozenset({'49006', '42908'})","frozenset({'49032', '32907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49006', '32907'})","frozenset({'49032', '42908'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49006', '49032'})","frozenset({'42908', '32907'})",0.999932294046954,0.16670898288732036,0.16670898288732036,0.1667202708421498,1.0000677105374522,1.1287190567699223e-05,1.0000135464171687,0.999999999999327
"frozenset({'42908', '32907'})","frozenset({'49006', '49032'})",0.16670898288732036,0.999932294046954,0.16670898288732036,1.0,1.0000677105374525,1.1287190567699223e-05,inf,8.125126955106491e-05
"frozenset({'49032', '42908'})","frozenset({'49006', '32907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49032', '32907'})","frozenset({'49006', '42908'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
frozenset({'49006'}),"frozenset({'49032', '42908', '32907'})",0.999932294046954,0.16670898288732036,0.16670898288732036,0.1667202708421498,1.0000677105374522,1.1287190567699223e-05,1.0000135464171687,0.999999999999327
frozenset({'42908'}),"frozenset({'49006', '32907', '49032'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
frozenset({'32907'}),"frozenset({'49006', '42908', '49032'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
frozenset({'49032'}),"frozenset({'49006', '42908', '32907'})",1.0,0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,0.0,1.0,0.0
"frozenset({'49006', '41428', '41427'})",frozenset({'49032'}),0.3028318014861457,1.0,0.3028318014861457,1.0,1.0,0.0,inf,0.0
"frozenset({'49006', '41428', '49032'})",frozenset({'41427'}),0.3028318014861457,0.3028656544626686,0.3028318014861457,1.0,3.3017939976527138,0.21111444973693522,inf,0.9999514421676218
"frozenset({'49032', '41428', '41427'})",frozenset({'49006'}),0.3028656544626686,0.999932294046954,0.3028318014861457,0.999888224445314,0.9999559274143835,-1.3347168742627868e-05,0.6057313089266128,-6.321843422915441e-05
"frozenset({'49006', '41427', '49032'})",frozenset({'41428'}),0.3028318014861457,0.3028656544626686,0.3028318014861457,1.0,3.3017939976527138,0.21111444973693522,inf,0.9999514421676218
"frozenset({'49006', '41428'})","frozenset({'49032', '41427'})",0.3028318014861457,0.3028656544626686,0.3028318014861457,1.0,3.3017939976527138,0.21111444973693522,inf,0.9999514421676218
"frozenset({'41428', '41427'})","frozenset({'49006', '49032'})",0.3028656544626686,0.999932294046954,0.3028318014861457,0.999888224445314,0.9999559274143835,-1.3347168742627868e-05,0.6057313089266128,-6.321843422915441e-05
"frozenset({'49032', '41428'})","frozenset({'49006', '41427'})",0.3028656544626686,0.3028318014861457,0.3028318014861457,0.999888224445314,3.3017939976527138,0.21111444973693522,6237.215288014808,1.0
"frozenset({'49006', '41427'})","frozenset({'49032', '41428'})",0.3028318014861457,0.3028656544626686,0.3028318014861457,1.0,3.3017939976527138,0.21111444973693522,inf,0.9999514421676218
"frozenset({'49006', '49032'})","frozenset({'41428', '41427'})",0.999932294046954,0.3028656544626686,0.3028318014861457,0.302852306390182,0.9999559274143835,-1.3347168742627868e-05,0.999980853307543,-0.3942953872183162
"frozenset({'49032', '41427'})","frozenset({'49006', '41428'})",0.3028656544626686,0.3028318014861457,0.3028318014861457,0.999888224445314,3.3017939976527138,0.21111444973693522,6237.215288014808,1.0
frozenset({'41428'}),"frozenset({'49006', '41427', '49032'})",0.3028656544626686,0.3028318014861457,0.3028318014861457,0.999888224445314,3.3017939976527138,0.21111444973693522,6237.215288014808,1.0
frozenset({'49006'}),"frozenset({'49032', '41428', '41427'})",0.999932294046954,0.3028656544626686,0.3028318014861457,0.302852306390182,0.9999559274143835,-1.3347168742627868e-05,0.999980853307543,-0.3942953872183162
frozenset({'41427'}),"frozenset({'49006', '41428', '49032'})",0.3028656544626686,0.3028318014861457,0.3028318014861457,0.999888224445314,3.3017939976527138,0.21111444973693522,6237.215288014808,1.0
frozenset({'49032'}),"frozenset({'49006', '41428', '41427'})",1.0,0.3028318014861457,0.3028318014861457,0.3028318014861457,1.0,0.0,1.0,0.0
"frozenset({'49032', '49006', '42908'})",frozenset({'42907'}),0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49032', '49006', '42907'})",frozenset({'42908'}),0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49032', '42908', '42907'})",frozenset({'49006'}),0.16670898288732036,0.999932294046954,0.16670898288732036,1.0,1.0000677105374525,1.1287190567699223e-05,inf,8.125126955106491e-05
"frozenset({'49006', '42908', '42907'})",frozenset({'49032'}),0.16670898288732036,1.0,0.16670898288732036,1.0,1.0,0.0,inf,0.0
"frozenset({'49032', '49006'})","frozenset({'42908', '42907'})",0.999932294046954,0.16670898288732036,0.16670898288732036,0.1667202708421498,1.0000677105374522,1.1287190567699223e-05,1.0000135464171687,0.999999999999327
"frozenset({'49032', '42908'})","frozenset({'49006', '42907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49032', '42907'})","frozenset({'49006', '42908'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49006', '42908'})","frozenset({'49032', '42907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'49006', '42907'})","frozenset({'49032', '42908'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'42908', '42907'})","frozenset({'49032', '49006'})",0.16670898288732036,0.999932294046954,0.16670898288732036,1.0,1.0000677105374525,1.1287190567699223e-05,inf,8.125126955106491e-05
frozenset({'49032'}),"frozenset({'49006', '42908', '42907'})",1.0,0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,0.0,1.0,0.0
frozenset({'49006'}),"frozenset({'49032', '42908', '42907'})",0.999932294046954,0.16670898288732036,0.16670898288732036,0.1667202708421498,1.0000677105374522,1.1287190567699223e-05,1.0000135464171687,0.999999999999327
frozenset({'42908'}),"frozenset({'49032', '49006', '42907'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
frozenset({'42907'}),"frozenset({'49032', '49006', '42908'})",0.16670898288732036,0.16670898288732036,0.16670898288732036,1.0,5.998477002741395,0.1389170979119955,inf,1.0
"frozenset({'31602', '49006', '41607'})",frozenset({'49032'}),0.3391560452952826,1.0,0.3391560452952826,1.0,1.0,0.0,inf,0.0
"frozenset({'31602', '49006', '49032'})",frozenset({'41607'}),0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'31602', '49032', '41607'})",frozenset({'49006'}),0.33917297178354405,0.999932294046954,0.3391560452952826,0.9999500948198423,1.0000178019781882,6.037541040559979e-06,1.356691887135189,2.693845820960715e-05
"frozenset({'49006', '41607', '49032'})",frozenset({'31602'}),0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'31602', '49006'})","frozenset({'49032', '41607'})",0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'31602', '41607'})","frozenset({'49006', '49032'})",0.33917297178354405,0.999932294046954,0.3391560452952826,0.9999500948198423,1.0000178019781882,6.037541040559979e-06,1.356691887135189,2.693845820960715e-05
"frozenset({'31602', '49032'})","frozenset({'49006', '41607'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
"frozenset({'49006', '41607'})","frozenset({'31602', '49032'})",0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'49006', '49032'})","frozenset({'31602', '41607'})",0.999932294046954,0.33917297178354405,0.3391560452952826,0.33917900973338977,1.0000178019781882,6.037541040559979e-06,1.000009137043064,0.26292608674021184
"frozenset({'49032', '41607'})","frozenset({'31602', '49006'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
frozenset({'31602'}),"frozenset({'49006', '41607', '49032'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
frozenset({'49006'}),"frozenset({'31602', '49032', '41607'})",0.999932294046954,0.33917297178354405,0.3391560452952826,0.33917900973338977,1.0000178019781882,6.037541040559979e-06,1.000009137043064,0.26292608674021184
frozenset({'41607'}),"frozenset({'31602', '49006', '49032'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
frozenset({'49032'}),"frozenset({'31602', '49006', '41607'})",1.0,0.3391560452952826,0.3391560452952826,0.3391560452952826,1.0,0.0,1.0,0.0
"frozenset({'31602', '49006', '41608'})",frozenset({'49032'}),0.3391560452952826,1.0,0.3391560452952826,1.0,1.0,0.0,inf,0.0
"frozenset({'31602', '49006', '49032'})",frozenset({'41608'}),0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'31602', '49032', '41608'})",frozenset({'49006'}),0.33917297178354405,0.999932294046954,0.3391560452952826,0.9999500948198423,1.0000178019781882,6.037541040559979e-06,1.356691887135189,2.693845820960715e-05
"frozenset({'41608', '49006', '49032'})",frozenset({'31602'}),0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'31602', '49006'})","frozenset({'41608', '49032'})",0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'31602', '41608'})","frozenset({'49006', '49032'})",0.33917297178354405,0.999932294046954,0.3391560452952826,0.9999500948198423,1.0000178019781882,6.037541040559979e-06,1.356691887135189,2.693845820960715e-05
"frozenset({'31602', '49032'})","frozenset({'41608', '49006'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
"frozenset({'41608', '49006'})","frozenset({'31602', '49032'})",0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'49006', '49032'})","frozenset({'31602', '41608'})",0.999932294046954,0.33917297178354405,0.3391560452952826,0.33917900973338977,1.0000178019781882,6.037541040559979e-06,1.000009137043064,0.26292608674021184
"frozenset({'41608', '49032'})","frozenset({'31602', '49006'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
frozenset({'31602'}),"frozenset({'41608', '49006', '49032'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
frozenset({'49006'}),"frozenset({'31602', '49032', '41608'})",0.999932294046954,0.33917297178354405,0.3391560452952826,0.33917900973338977,1.0000178019781882,6.037541040559979e-06,1.000009137043064,0.26292608674021184
frozenset({'41608'}),"frozenset({'31602', '49006', '49032'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
frozenset({'49032'}),"frozenset({'31602', '49006', '41608'})",1.0,0.3391560452952826,0.3391560452952826,0.3391560452952826,1.0,0.0,1.0,0.0
"frozenset({'42807', '49006', '32805'})",frozenset({'49032'}),0.18656375361803687,1.0,0.18656375361803687,1.0,1.0,0.0,inf,0.0
"frozenset({'42807', '49006', '49032'})",frozenset({'32805'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42807', '32805', '49032'})",frozenset({'49006'}),0.18656375361803687,0.999932294046954,0.18656375361803687,1.0,1.0000677105374525,1.2631476742547276e-05,inf,8.32344923737292e-05
"frozenset({'49006', '32805', '49032'})",frozenset({'42807'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42807', '49006'})","frozenset({'49032', '32805'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42807', '32805'})","frozenset({'49006', '49032'})",0.18656375361803687,0.999932294046954,0.18656375361803687,1.0,1.0000677105374525,1.2631476742547276e-05,inf,8.32344923737292e-05
"frozenset({'42807', '49032'})","frozenset({'49006', '32805'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'49006', '32805'})","frozenset({'42807', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'49006', '49032'})","frozenset({'42807', '32805'})",0.999932294046954,0.18656375361803687,0.18656375361803687,0.18657638595006348,1.0000677105374525,1.2631476742547276e-05,1.0000155298319455,1.0000000000006715
"frozenset({'49032', '32805'})","frozenset({'42807', '49006'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'42807'}),"frozenset({'49006', '32805', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'49006'}),"frozenset({'42807', '32805', '49032'})",0.999932294046954,0.18656375361803687,0.18656375361803687,0.18657638595006348,1.0000677105374525,1.2631476742547276e-05,1.0000155298319455,1.0000000000006715
frozenset({'32805'}),"frozenset({'42807', '49006', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'49032'}),"frozenset({'42807', '49006', '32805'})",1.0,0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,0.0,1.0,0.0
"frozenset({'42808', '49006', '32805'})",frozenset({'49032'}),0.18656375361803687,1.0,0.18656375361803687,1.0,1.0,0.0,inf,0.0
"frozenset({'42808', '49006', '49032'})",frozenset({'32805'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42808', '49032', '32805'})",frozenset({'49006'}),0.18656375361803687,0.999932294046954,0.18656375361803687,1.0,1.0000677105374525,1.2631476742547276e-05,inf,8.32344923737292e-05
"frozenset({'49006', '32805', '49032'})",frozenset({'42808'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42808', '49006'})","frozenset({'49032', '32805'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42808', '32805'})","frozenset({'49006', '49032'})",0.18656375361803687,0.999932294046954,0.18656375361803687,1.0,1.0000677105374525,1.2631476742547276e-05,inf,8.32344923737292e-05
"frozenset({'42808', '49032'})","frozenset({'49006', '32805'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'49006', '32805'})","frozenset({'42808', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'49006', '49032'})","frozenset({'42808', '32805'})",0.999932294046954,0.18656375361803687,0.18656375361803687,0.18657638595006348,1.0000677105374525,1.2631476742547276e-05,1.0000155298319455,1.0000000000006715
"frozenset({'49032', '32805'})","frozenset({'42808', '49006'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'42808'}),"frozenset({'49006', '32805', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'49006'}),"frozenset({'42808', '49032', '32805'})",0.999932294046954,0.18656375361803687,0.18656375361803687,0.18657638595006348,1.0000677105374525,1.2631476742547276e-05,1.0000155298319455,1.0000000000006715
frozenset({'32805'}),"frozenset({'42808', '49006', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'49032'}),"frozenset({'42808', '49006', '32805'})",1.0,0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,0.0,1.0,0.0
"frozenset({'41608', '49006', '41607'})",frozenset({'49032'}),0.3391560452952826,1.0,0.3391560452952826,1.0,1.0,0.0,inf,0.0
"frozenset({'41608', '49006', '49032'})",frozenset({'41607'}),0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'41608', '49032', '41607'})",frozenset({'49006'}),0.33917297178354405,0.999932294046954,0.3391560452952826,0.9999500948198423,1.0000178019781882,6.037541040559979e-06,1.356691887135189,2.693845820960715e-05
"frozenset({'49006', '41607', '49032'})",frozenset({'41608'}),0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'41608', '49006'})","frozenset({'49032', '41607'})",0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'41608', '41607'})","frozenset({'49006', '49032'})",0.33917297178354405,0.999932294046954,0.3391560452952826,0.9999500948198423,1.0000178019781882,6.037541040559979e-06,1.356691887135189,2.693845820960715e-05
"frozenset({'41608', '49032'})","frozenset({'49006', '41607'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
"frozenset({'49006', '41607'})","frozenset({'41608', '49032'})",0.3391560452952826,0.33917297178354405,0.3391560452952826,1.0,2.9483481385367805,0.2241234815141273,inf,0.9999743865580657
"frozenset({'49006', '49032'})","frozenset({'41608', '41607'})",0.999932294046954,0.33917297178354405,0.3391560452952826,0.33917900973338977,1.0000178019781882,6.037541040559979e-06,1.000009137043064,0.26292608674021184
"frozenset({'49032', '41607'})","frozenset({'41608', '49006'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
frozenset({'41608'}),"frozenset({'49006', '41607', '49032'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
frozenset({'49006'}),"frozenset({'41608', '49032', '41607'})",0.999932294046954,0.33917297178354405,0.3391560452952826,0.33917900973338977,1.0000178019781882,6.037541040559979e-06,1.000009137043064,0.26292608674021184
frozenset({'41607'}),"frozenset({'41608', '49006', '49032'})",0.33917297178354405,0.3391560452952826,0.3391560452952826,0.9999500948198423,2.94834813853678,0.2241234815141273,13241.991164377654,1.0
frozenset({'49032'}),"frozenset({'41608', '49006', '41607'})",1.0,0.3391560452952826,0.3391560452952826,0.3391560452952826,1.0,0.0,1.0,0.0
"frozenset({'42808', '42807', '49006'})",frozenset({'49032'}),0.18656375361803687,1.0,0.18656375361803687,1.0,1.0,0.0,inf,0.0
"frozenset({'42808', '42807', '49032'})",frozenset({'49006'}),0.18656375361803687,0.999932294046954,0.18656375361803687,1.0,1.0000677105374525,1.2631476742547276e-05,inf,8.32344923737292e-05
"frozenset({'42808', '49006', '49032'})",frozenset({'42807'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42807', '49006', '49032'})",frozenset({'42808'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42808', '42807'})","frozenset({'49006', '49032'})",0.18656375361803687,0.999932294046954,0.18656375361803687,1.0,1.0000677105374525,1.2631476742547276e-05,inf,8.32344923737292e-05
"frozenset({'42808', '49006'})","frozenset({'42807', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42808', '49032'})","frozenset({'42807', '49006'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42807', '49006'})","frozenset({'42808', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'42807', '49032'})","frozenset({'42808', '49006'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
"frozenset({'49006', '49032'})","frozenset({'42808', '42807'})",0.999932294046954,0.18656375361803687,0.18656375361803687,0.18657638595006348,1.0000677105374525,1.2631476742547276e-05,1.0000155298319455,1.0000000000006715
frozenset({'42808'}),"frozenset({'42807', '49006', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'42807'}),"frozenset({'42808', '49006', '49032'})",0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
frozenset({'49006'}),"frozenset({'42808', '42807', '49032'})",0.999932294046954,0.18656375361803687,0.18656375361803687,0.18657638595006348,1.0000677105374525,1.2631476742547276e-05,1.0000155298319455,1.0000000000006715
frozenset({'49032'}),"frozenset({'42808', '42807', '49006'})",1.0,0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,0.0,1.0,0.0
"frozenset({'32702', '42709', '49006'})",frozenset({'49032'}),0.12664398517239628,1.0,0.12664398517239628,1.0,1.0,0.0,inf,0.0
"frozenset({'32702', '42709', '49032'})",frozenset({'49006'}),0.12667783814891925,0.999932294046954,0.12664398517239628,0.9997327632282201,0.9998004556709271,-2.5276132761292702e-05,0.2533556762978752,-0.00022848218246621286
"frozenset({'32702', '49006', '49032'})",frozenset({'42709'}),0.12664398517239628,0.12667783814891925,0.12664398517239628,1.0,7.89404061998931,0.11060099891619334,inf,0.9999612380564762
"frozenset({'42709', '49006', '49032'})",frozenset({'32702'}),0.12664398517239628,0.12667783814891925,0.12664398517239628,1.0,7.89404061998931,0.11060099891619334,inf,0.9999612380564762
"frozenset({'32702', '42709'})","frozenset({'49006', '49032'})",0.12667783814891925,0.999932294046954,0.12664398517239628,0.9997327632282201,0.9998004556709271,-2.5276132761292702e-05,0.2533556762978752,-0.00022848218246621286
"frozenset({'32702', '49006'})","frozenset({'42709', '49032'})",0.12664398517239628,0.12667783814891925,0.12664398517239628,1.0,7.89404061998931,0.11060099891619334,inf,0.9999612380564762
"frozenset({'32702', '49032'})","frozenset({'42709', '49006'})",0.12667783814891925,0.12664398517239628,0.12664398517239628,0.9997327632282201,7.89404061998931,0.11060099891619334,3268.098207484045,1.0000000000000002
"frozenset({'42709', '49006'})","frozenset({'32702', '49032'})",0.12664398517239628,0.12667783814891925,0.12664398517239628,1.0,7.89404061998931,0.11060099891619334,inf,0.9999612380564762
"frozenset({'42709', '49032'})","frozenset({'32702', '49006'})",0.12667783814891925,0.12664398517239628,0.12664398517239628,0.9997327632282201,7.89404061998931,0.11060099891619334,3268.098207484045,1.0000000000000002
"frozenset({'49006', '49032'})","frozenset({'32702', '42709'})",0.999932294046954,0.12667783814891925,0.12664398517239628,0.12665256030469743,0.9998004556709271,-2.5276132761292702e-05,0.9999710563710695,-0.7466948793903473
frozenset({'32702'}),"frozenset({'42709', '49006', '49032'})",0.12667783814891925,0.12664398517239628,0.12664398517239628,0.9997327632282201,7.89404061998931,0.11060099891619334,3268.098207484045,1.0000000000000002
